r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
6.9,335.213365,335.190499,284.744125,284.784687,258.464589,258.491248,272.475940,272.495050,267.020405,267.012365,253.376740,253.265829,219.043551,219.647345,210.300100,210.515159
7,340.752606,340.745562,293.061253,293.098330,260.927153,261.052497,269.428183,269.507073,262.304909,262.453682,254.000857,253.810063,227.920761,228.257840,201.761925,201.734942
7.1,344.366306,344.355156,299.940036,299.959621,264.324702,264.337016,265.510498,265.627388,257.843023,257.812331,253.852107,253.296422,235.801845,235.961081,196.498469,196.487949
7.2,345.067157,345.069065,305.031835,305.033421,268.237656,268.092234,261.677673,261.716175,253.461210,253.594899,253.142165,252.518892,241.477239,241.567812,196.341583,196.173826
7.3,343.681848,343.674225,308.455108,308.471664,272.765434,272.638829,258.533670,258.639728,249.803972,250.052357,250.932629,250.625195,245.181792,245.080508,201.805157,201.788315
7.4,341.733667,341.746910,310.599711,310.580769,276.864755,276.732132,256.007693,256.136180,246.240175,246.494610,249.493765,249.280650,246.722063,246.770817,210.244414,210.295384
7.5,338.643529,338.674250,311.200671,311.248373,280.928960,280.845863,254.643737,254.807342,243.912643,244.124179,246.776885,246.619673,246.501319,246.622584,219.655786,219.882349
7.6,334.920623,334.984370,311.186231,311.243103,283.899808,283.810557,254.111920,254.316385,242.202346,242.248524,244.582738,244.506760,245.737577,245.445056,227.279161,227.128839
7.7,330.375324,330.456882,310.229615,310.290651,286.488841,286.387830,254.913664,255.153597,240.453766,240.443931,241.881660,241.756770,243.526291,243.505052,232.954793,232.808492
7.8,326.313000,326.361895,308.374595,308.470139,288.185915,287.947006,257.344394,257.567159,239.438874,239.505898,239.725437,239.738301,241.397643,241.030090,236.964769,237.052254
7.9,323.136177,323.180290,306.300302,306.507014,288.282952,288.138148,259.029690,259.046778,238.826693,238.989812,237.591482,237.618918,239.349504,239.068782,239.508620,239.523689
8,319.976012,320.004938,304.035547,304.138790,287.295728,287.201934,261.504360,261.490221,239.249256,239.375585,235.500654,235.303406,236.655741,236.511173,240.640516,240.909846
