r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
6.7,-254.189288,-254.175760,-261.684558,-261.643822,-284.070384,-284.068028,-271.252656,-271.266108,-226.328017,-226.476197,-193.097590,-192.940959,-207.287476,-207.366496,-243.061406,-243.105993
6.8,-258.407234,-258.405871,-259.096926,-258.986955,-280.928819,-280.922472,-272.068825,-272.074106,-230.000078,-230.164259,-196.434960,-196.317194,-199.270206,-199.424556,-240.032783,-239.788010
6.9,-264.910711,-264.891465,-259.242969,-259.072477,-276.451229,-276.442755,-271.029691,-271.073263,-233.188965,-233.337381,-200.406702,-200.189991,-193.567247,-193.633601,-232.765191,-232.362878
7,-272.801781,-272.772794,-261.322029,-261.147093,-272.162801,-272.032099,-268.137285,-268.357735,-235.526956,-235.693580,-205.086842,-204.884746,-191.030602,-191.049274,-222.257460,-221.642042
7.1,-281.694074,-281.687482,-264.928146,-264.717154,-267.879087,-267.689429,-263.601287,-263.869463,-237.724936,-237.907374,-209.740716,-209.591098,-190.941914,-191.054098,-211.399453,-210.935191
7.2,-290.827251,-290.842664,-269.493578,-269.355162,-264.370638,-264.180322,-258.971508,-259.373204,-239.036291,-239.138163,-214.659464,-214.454904,-192.233830,-191.997095,-201.793420,-201.508272
7.3,-299.940965,-299.962332,-274.622002,-274.532001,-261.487357,-261.386314,-253.862827,-254.093302,-239.460928,-239.527822,-219.272363,-219.005623,-194.465899,-194.345998,-194.256003,-194.025209
7.4,-307.841457,-307.873274,-280.060586,-279.967179,-259.593126,-259.534889,-248.751750,-249.069249,-239.589871,-239.654276,-223.833562,-223.509787,-197.285181,-197.102353,-189.096916,-188.843735
7.5,-314.553213,-314.569872,-284.561859,-284.509403,-258.332298,-258.336392,-243.990655,-244.262551,-238.901608,-238.857337,-227.104663,-226.885105,-200.910623,-200.738894,-186.283196,-186.350396
7.6,-319.483532,-319.501813,-288.199969,-288.182572,-257.666614,-257.669836,-239.555534,-239.883569,-237.762080,-237.702739,-229.379453,-229.070005,-204.864298,-204.871871,-185.908063,-186.046820
7.7,-322.640142,-322.690165,-290.961905,-290.955734,-257.014502,-257.056838,-236.205480,-236.521148,-235.752927,-235.656409,-231.199553,-230.886623,-209.007987,-208.913829,-187.361414,-187.856897
7.8,-322.999173,-323.048570,-292.058204,-292.082612,-257.185023,-257.206436,-234.211242,-234.285624,-233.314369,-233.120980,-231.876973,-231.583895,-212.427182,-212.333452,-189.555568,-189.967466
7.9,-321.899607,-321.952639,-292.569418,-292.570818,-257.763595,-257.817210,-233.290969,-233.333997,-230.988808,-230.843007,-231.642882,-231.413470,-215.556760,-215.535787,-192.492551,-192.812269
8,-319.458127,-319.494294,-292.597147,-292.650953,-258.922131,-258.946703,-233.411902,-233.380813,-228.892363,-228.830159,-230.733925,-230.546560,-217.981775,-217.932702,-195.697011,-196.031619
8.1,-315.852637,-315.875961,-291.407732,-291.445351,-260.010262,-260.053280,-234.500536,-234.381967,-226.995580,-226.890763,-228.984307,-228.761472,-219.372873,-219.336113,-199.017243,-199.282593
8.2,-311.684620,-311.690780,-289.851892,-289.868511,-261.834770,-261.840340,-236.146271,-236.022681,-225.836242,-225.850753,-226.267804,-226.052970,-220.518221,-220.570430,-202.151038,-202.422978
8.3,-307.290327,-307.287406,-288.007788,-288.043351,-263.845962,-263.857229,-238.356942,-238.306416,-224.858095,-224.885432,-223.484708,-223.481292,-220.910348,-221.054401,-205.108825,-205.458462
8.4,-303.235396,-303.208493,-286.274847,-286.305053,-265.556617,-265.604983,-241.162294,-241.159809,-224.353257,-224.542562,-221.127175,-221.297948,-220.466817,-220.438191,-207.693618,-208.110749
8.5,-299.662017,-299.619637,-284.643041,-284.651238,-267.238582,-267.364212,-243.654279,-243.636781,-224.904024,-225.094158,-218.660567,-218.833376,-219.656219,-219.515267,-210.216384,-210.512497
8.6,-296.979151,-296.957633,-283.097669,-283.102713,-268.684606,-268.772688,-246.399214,-246.388802,-225.148530,-225.396213,-216.223900,-216.428737,-218.259479,-217.926758,-211.626911,-211.923965
8.7,-295.221916,-295.229216,-281.956672,-281.971207,-269.685757,-269.829473,-248.472133,-248.466087,-225.821394,-226.030845,-214.334062,-214.672507,-216.344077,-216.018116,-212.536627,-212.662794
8.8,-294.413614,-294.420200,-281.017795,-280.997057,-270.274754,-270.373355,-249.899607,-249.943752,-226.503600,-226.552314,-212.977977,-213.273238,-214.488040,-214.284933,-213.104045,-213.108528
8.9,-294.090836,-294.120988,-280.403890,-280.336072,-270.491574,-270.514261,-251.265962,-251.301776,-227.357011,-227.434696,-212.702124,-212.935098,-212.405714,-212.305555,-213.482377,-213.329924
9,-294.243150,-294.264761,-280.441964,-280.359552,-270.184801,-270.224262,-251.803798,-251.833009,-228.198897,-228.202518,-212.380987,-212.711761,-210.618903,-210.308460,-212.894097,-212.679970
9.1,-295.162858,-295.207517,-280.736784,-280.594348,-269.355424,-269.373023,-251.764097,-251.801019,-228.861719,-228.892325,-213.314377,-213.504106,-208.951787,-208.646359,-212.223829,-211.893592
9.2,-296.503771,-296.535931,-281.342620,-281.170198,-268.654562,-268.639998,-251.176738,-251.210262,-229.545374,-229.659150,-214.026572,-214.082538,-207.867119,-207.757496,-210.613139,-210.234249
9.3,-298.327915,-298.366875,-282.003966,-281.854204,-267.778680,-267.779168,-250.735986,-250.720773,-230.382791,-230.453093,-215.489766,-215.387770,-207.062192,-207.107204,-209.377686,-209.039932
9.4,-300.486300,-300.530264,-282.376279,-282.228732,-266.781088,-266.743988,-249.795074,-249.826015,-231.399803,-231.384401,-216.432668,-216.192717,-206.652210,-206.932402,-208.174587,-207.868511
9.5,-302.466715,-302.509475,-283.172029,-283.059103,-265.617483,-265.584310,-249.020666,-249.175830,-231.543983,-231.615870,-218.187661,-217.853722,-206.475347,-206.803909,-206.760266,-206.514810
9.6,-304.133520,-304.157713,-283.503765,-283.474627,-264.863067,-264.811683,-247.739447,-247.914205,-231.956865,-231.946338,-219.337726,-219.005892,-206.674330,-207.008147,-204.793149,-204.672460
9.7,-305.238874,-305.251634,-284.041041,-284.031133,-264.460821,-264.395435,-246.388840,-246.606361,-232.162178,-232.168686,-220.297223,-219.924745,-207.472485,-207.699988,-203.631453,-203.527781
9.8,-305.988384,-305.983391,-284.909257,-284.940171,-263.890248,-263.798681,-245.579508,-245.845999,-232.066881,-232.081825,-221.120309,-220.679286,-208.342177,-208.406572,-202.545843,-202.533825
9.9,-306.590465,-306.602941,-284.977405,-284.991222,-263.550640,-263.449115,-244.700506,-244.950851,-231.414693,-231.459860,-221.605056,-221.144447,-209.642847,-209.708797,-201.747269,-201.982041
10,-306.539306,-306.557017,-284.959587,-284.990955,-263.509283,-263.488399,-243.985944,-244.238277,-231.474161,-231.616273,-221.709125,-221.385705,-210.909306,-210.896220,-201.469341,-201.689404
10.1,-306.133015,-306.136972,-285.050770,-285.075414,-263.664950,-263.750256,-243.572267,-243.848419,-230.667708,-230.722486,-222.062572,-221.720670,-211.905247,-211.753853,-201.693301,-201.932849
10.2,-304.873388,-304.871976,-284.672322,-284.727484,-263.976497,-264.041446,-243.425262,-243.632751,-230.426467,-230.453413,-221.811592,-221.480126,-212.793387,-212.590222,-202.245500,-202.576833
10.3,-303.686972,-303.675458,-284.649590,-284.674690,-264.102630,-264.187074,-243.297019,-243.515070,-229.869624,-229.838712,-221.163683,-221.051195,-213.523479,-213.289655,-202.895465,-203.158463
10.4,-302.287857,-302.280333,-284.103320,-284.085720,-264.324227,-264.453722,-243.781615,-243.888400,-229.688043,-229.663553,-220.467694,-220.521256,-213.910196,-213.591195,-203.609558,-203.875833
10.5,-301.607517,-301.606574,-283.886125,-283.845215,-264.891472,-264.943926,-244.462655,-244.612483,-229.677678,-229.664581,-219.707363,-219.966680,-214.037365,-213.764674,-204.760200,-204.930650
10.6,-300.095578,-300.082795,-283.151948,-283.083907,-265.278535,-265.330614,-244.440964,-244.544236,-229.448440,-229.336162,-218.902227,-219.030023,-214.106164,-213.819574,-205.255355,-205.461599
