r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
5.3,7.546115,33.772406,-6.633147,73.307330,-22.122543,106.901642,-84.398849,91.584425,-124.875794,128.549392,-102.376173,170.746051,-97.994087,146.805689,-82.458246,124.163958
5.4,10.813088,37.766092,-12.252812,69.897791,-28.099988,103.753984,-74.544741,100.895238,-120.086977,124.238672,-113.195367,164.817565,-102.618799,152.716011,-86.263492,129.838973
5.5,13.562261,41.090182,-17.805714,66.335772,-35.499697,99.177203,-67.446045,109.051479,-113.821047,119.423976,-124.735656,156.564047,-106.773428,159.204484,-89.886487,135.761736
5.6,15.484200,43.449351,-23.083893,62.652923,-43.614740,93.673125,-63.397545,114.956299,-106.996898,115.884892,-135.447533,147.514233,-111.102990,165.377628,-93.891712,141.594358
5.7,16.312532,44.603350,-28.713451,58.330380,-51.960286,87.656429,-61.926246,118.488696,-99.156009,116.457392,-142.492711,138.683508,-115.620860,169.758675,-97.665896,148.184587
5.8,16.237045,44.716282,-33.943187,54.011117,-59.363115,82.192059,-61.997145,120.470734,-91.330520,120.646316,-143.463670,131.615735,-121.108325,170.105937,-101.850565,154.580014
5.9,14.696425,43.232282,-38.120477,50.194926,-65.493182,77.492877,-63.481334,121.011741,-84.254384,127.008326,-139.495161,125.920253,-126.972224,167.505632,-106.172377,160.908268
6,12.649365,41.157987,-41.112777,47.169560,-69.804416,74.073573,-65.655392,120.823275,-79.759594,132.313427,-132.768850,121.328902,-134.435781,162.538783,-110.334855,167.669697
6.1,9.717982,38.049663,-42.720832,45.156025,-72.014780,72.469062,-67.869252,120.328051,-77.483532,136.225660,-124.903273,119.065489,-141.195425,156.596070,-114.483334,174.247247
6.2,6.853405,34.904700,-42.226644,44.928974,-72.748139,71.925404,-70.321403,119.463982,-77.584921,138.238549,-116.198453,120.805576,-145.105114,150.469232,-119.630446,177.425178
6.3,3.809364,31.559333,-40.590465,45.638620,-71.866814,72.539641,-72.688088,118.652705,-79.418872,138.604892,-107.791331,125.811592,-144.530677,144.699637,-125.522151,177.415076
6.4,1.404435,28.848907,-37.964562,47.285249,-69.788012,74.172283,-75.235122,117.242473,-82.680704,137.582766,-101.205794,131.715125,-140.095768,139.685243,-132.217426,174.059244
6.5,-0.391227,26.773573,-34.423788,49.865854,-66.756811,76.512140,-78.410901,115.208500,-86.673257,135.864165,-96.872317,136.702563,-134.089958,134.950540,-139.803252,168.466315
6.6,-1.590983,25.331567,-30.636219,52.796717,-63.860860,78.774828,-81.309581,113.144515,-91.126631,133.324858,-94.741430,140.445770,-127.052027,132.187620,-147.045915,161.734846
6.7,-2.911415,23.841124,-27.071044,55.667204,-60.556331,81.281731,-84.008201,111.112094,-95.519488,130.819965,-94.507104,142.507541,-120.048676,132.679168,-151.091102,155.455053
