r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
4.3,-47.766073,-47.762658,-35.306377,-35.178998,5.181999,5.309586,20.208017,19.950199,17.520150,17.609758,6.435438,6.351841,6.181167,6.332240,7.466310,7.547288
4.4,-42.392581,-42.400359,-38.587744,-38.436119,-1.392803,-1.222715,20.744529,20.515544,16.534953,16.331205,7.167137,7.145237,7.565482,7.822684,8.150163,8.325933
4.5,-35.481280,-35.539729,-38.322963,-38.335577,-7.757922,-7.629088,20.801580,20.554683,16.263999,16.103334,8.838147,8.890649,9.135291,9.401520,8.434591,8.593085
4.6,-28.309595,-28.329800,-35.989335,-36.007239,-12.655506,-12.605170,20.239315,20.120039,17.206640,17.138710,10.847979,10.937379,10.665600,10.770410,8.883693,9.002738
4.7,-20.261761,-20.270910,-31.287854,-31.379883,-15.953880,-15.879552,19.217024,19.187511,18.933120,18.789313,13.036207,13.235286,12.278777,12.511146,9.706884,9.764518
4.8,-11.366733,-11.380836,-24.851384,-24.963694,-17.155712,-17.065649,16.094560,16.219862,20.028418,19.988150,15.249223,15.448605,13.752680,13.922071,10.302904,10.538344
4.9,-1.868979,-1.850805,-17.092344,-17.289975,-16.007178,-15.887385,12.003421,12.370966,21.492115,21.407020,17.586315,17.694581,14.931710,14.853873,10.957038,10.951695
5,7.598640,7.584342,-8.620869,-8.817134,-13.534328,-13.429888,7.586705,7.948848,22.281283,22.249108,19.565725,19.993920,15.919703,15.782679,11.323031,11.212291
5.1,17.386336,17.368693,0.599140,0.494507,-9.128835,-9.002582,3.609587,3.987321,21.184858,21.227980,20.711709,21.014738,16.673374,16.359939,11.771181,11.515693
5.2,26.547937,26.523977,9.278037,9.240202,-3.671386,-3.628078,0.125809,0.446639,19.206774,19.258973,21.567676,21.807995,17.325290,17.097323,12.517349,11.902652
5.3,34.914077,34.882485,17.616704,17.586140,1.735311,1.647544,-1.833393,-1.669759,15.703137,15.696764,21.964352,21.796085,17.682150,17.543918,12.909732,12.353991
5.4,41.704180,41.663977,24.452989,24.384062,6.743545,6.618441,-2.922918,-2.960968,10.873321,10.834873,21.795622,21.619727,17.670172,17.542703,13.260844,12.836167
5.5,46.466017,46.422952,30.267990,30.239758,11.284460,11.018680,-3.180641,-3.447685,5.583144,5.548472,21.174315,21.035858,17.657379,17.467780,13.381975,13.021553
5.6,48.801980,48.757688,35.103562,35.150717,15.120737,14.932574,-2.194473,-2.448526,1.147406,0.995997,19.636868,19.460984,18.255827,18.236438,14.144275,13.513573
5.7,48.122821,48.099101,37.566827,37.648558,17.913113,17.689208,-0.660471,-1.054286,-2.561090,-2.461734,17.028988,17.028320,18.154731,18.294566,14.655653,14.192388
5.8,44.924377,44.879938,38.038571,38.142820,20.333547,20.131296,1.157822,0.800002,-4.150233,-4.090860,13.438617,13.494507,18.183277,18.527995,14.864725,14.845770
5.9,39.006116,38.975652,36.991176,37.108867,21.418109,21.250296,2.775866,2.302537,-5.294642,-5.259317,9.421620,9.416970,18.283184,18.441387,15.342822,15.224726
6,31.755499,31.714060,34.373975,34.509180,22.215182,22.063966,4.781919,4.418706,-5.309250,-5.201821,5.520198,5.471093,18.123987,18.670021,16.252231,16.056374
6.1,23.280071,23.293452,30.460013,30.567803,22.693336,22.533101,6.689853,6.307711,-4.257722,-4.165721,2.141923,2.158266,17.143825,17.672860,16.922708,16.923349
6.2,15.330105,15.359755,26.073996,26.180655,22.286670,22.052303,8.712779,8.344500,-2.592632,-2.521562,-0.771583,-0.601262,15.573403,16.024029,17.681118,17.923639
6.3,8.195083,8.237241,21.016819,21.150682,21.564795,21.449767,10.937534,10.608877,-0.078317,-0.040492,-1.997414,-1.800248,12.883969,13.164631,18.287794,18.700536
6.4,2.094578,2.126222,15.566268,15.652597,20.436906,20.362774,12.953976,12.729476,2.627236,2.513907,-1.938116,-1.930761,9.996724,10.046514,18.891799,19.274003
6.5,-1.925396,-1.892485,11.007867,11.081854,19.047993,19.018937,14.401603,14.189326,5.184939,4.995190,-1.410067,-1.675900,6.748836,6.544306,18.883528,19.394433
6.6,-4.882574,-4.866657,6.572335,6.619101,17.285744,17.347925,15.482963,15.290035,8.000348,7.792931,-0.575930,-0.723231,3.810866,3.692548,17.910000,18.381089
6.7,-6.322041,-6.344433,3.445589,3.428094,15.239882,15.321953,16.507688,16.449383,9.818395,9.602836,0.971985,0.862098,1.702176,1.541050,16.214352,16.650347
6.8,-6.404515,-6.460246,0.737402,0.781385,12.870843,12.996577,17.258517,17.237363,11.991305,11.829438,2.170185,2.179621,0.236526,-0.057511,13.844650,14.681894
6.9,-5.835167,-5.888657,-1.035888,-1.018744,10.296370,10.378099,17.360636,17.521598,13.891398,13.808570,4.141467,4.236511,-0.177216,-0.230079,11.030870,11.599671
7,-4.234020,-4.320831,-2.225527,-2.252695,7.710560,7.738304,17.548043,17.724219,15.573231,15.519405,6.218635,6.467746,0.094201,-0.052500,7.634202,8.101938
7.1,-2.498762,-2.576862,-2.452778,-2.519038,5.471319,5.542572,16.558752,16.724705,16.798309,16.729276,8.264224,8.518485,0.778652,0.633184,4.679046,4.751710
7.2,-0.689698,-0.756109,-2.158113,-2.233761,3.997609,4.102131,15.599570,15.775724,17.551744,17.445374,10.301964,10.465160,1.695757,1.716038,2.326166,2.482604
7.3,1.054103,0.969688,-1.588576,-1.672647,2.876472,2.914104,14.090364,14.236640,17.752959,17.744669,11.753095,11.837862,3.109014,3.065375,0.571639,0.603038
