r,d01_K1,d01_K2,d02_K1,d02_K2,d03_K1,d03_K2,d04_K1,d04_K2,d05_K1,d05_K2,d06_K1,d06_K2,d07_K1,d07_K2,d08_K1,d08_K2
13.2,-309.375683,-309.424753,-290.677563,-290.684108,-274.111352,-274.023950,-256.021341,-255.861460,-240.561985,-240.580926,-228.223831,-228.316901,-222.073560,-222.115689,-214.765579,-214.867205
13.3,-309.133681,-309.176151,-290.440852,-290.464975,-274.052518,-273.961505,-256.085569,-255.854154,-240.253906,-240.387988,-227.339663,-227.526644,-221.402933,-221.502464,-214.573610,-214.577471
13.4,-309.059622,-309.086080,-291.098863,-291.113997,-273.944895,-273.930925,-256.548063,-256.303772,-240.116183,-240.308905,-226.419658,-226.486858,-221.103222,-221.107062,-214.580622,-214.459656
13.5,-309.508890,-309.523665,-290.545950,-290.540077,-274.025081,-274.067394,-256.334625,-256.102940,-239.794441,-239.895563,-226.644396,-226.731215,-220.333978,-220.163579,-214.754869,-214.472802
13.6,-309.473987,-309.459745,-290.695750,-290.725972,-274.264142,-274.307818,-256.080674,-255.919636,-239.618846,-239.791582,-227.014632,-226.939282,-220.181923,-220.010419,-213.867530,-213.454181
13.7,-309.069491,-309.046374,-291.076394,-291.142838,-274.112609,-274.191788,-256.270217,-256.218959,-239.652686,-239.726601,-227.509390,-227.435266,-220.148739,-219.997723,-213.757025,-213.240609
13.8,-309.804762,-309.770282,-291.860144,-291.905036,-274.974663,-275.065132,-255.668067,-255.601128,-239.231567,-239.340188,-227.919968,-227.905453,-220.208783,-220.083075,-213.487131,-212.972146
13.9,-310.004013,-309.969684,-292.590040,-292.618341,-274.972980,-275.075311,-255.459516,-255.340010,-238.555415,-238.613908,-228.682415,-228.543602,-221.190819,-220.900244,-213.527814,-213.206569
14,-310.464448,-310.418999,-292.554679,-292.587075,-274.782753,-274.895702,-254.928103,-255.033759,-238.481697,-238.542191,-228.719922,-228.620921,-220.476852,-220.257330,-213.844606,-213.469686
14.1,-310.864625,-310.840080,-293.122954,-293.123880,-274.813332,-274.960463,-255.022005,-255.187276,-238.165958,-238.102922,-229.399074,-229.205735,-220.115948,-220.099644,-214.395507,-214.134725
14.2,-311.415380,-311.379378,-293.364438,-293.314484,-274.946542,-275.032348,-255.470335,-255.613566,-238.072712,-237.908384,-230.043055,-229.635483,-220.419113,-220.425043,-215.113558,-215.062940
14.3,-312.161699,-312.145685,-293.612193,-293.522022,-274.225874,-274.241536,-255.716181,-255.867891,-238.213736,-238.135531,-230.329421,-229.890363,-220.810376,-220.924541,-215.322362,-215.590639
14.4,-313.041034,-313.012868,-294.013026,-293.898958,-274.115778,-274.155141,-255.770202,-255.985306,-238.424802,-238.301081,-229.908447,-229.607471,-221.225350,-221.454521,-215.404413,-215.892170
14.5,-313.127766,-313.123525,-294.186861,-294.005139,-274.365544,-274.425100,-255.654086,-255.829630,-239.106086,-238.963615,-230.203274,-229.882345,-221.773008,-221.883373,-216.190580,-216.637083
14.6,-313.010033,-312.999866,-294.145277,-294.011187,-274.594527,-274.666287,-255.670495,-255.872719,-239.659722,-239.488471,-230.290500,-230.028764,-222.005755,-222.191603,-216.679878,-217.207748
14.7,-313.474248,-313.448389,-293.909010,-293.785470,-274.648436,-274.708613,-255.939475,-256.099268,-239.518040,-239.448986,-230.319095,-230.094029,-222.237894,-222.458607,-216.893854,-217.412924
14.8,-314.142914,-314.144393,-294.222062,-294.155139,-275.427156,-275.480386,-255.494153,-255.620648,-240.166659,-240.135247,-230.225148,-230.092410,-222.325561,-222.561998,-216.777034,-217.183059
14.9,-312.824714,-312.838481,-293.621818,-293.602948,-275.865316,-275.901412,-255.931111,-255.969935,-240.270392,-240.242259,-230.057585,-229.994276,-222.242431,-222.215323,-216.567066,-216.973843
15,-312.851386,-312.863948,-293.408260,-293.368786,-276.749556,-276.737598,-255.798320,-255.730240,-240.330401,-240.346481,-229.668424,-229.789329,-221.935877,-221.849612,-216.516210,-216.830788
