r,d01_CL1,d01_CL2,d02_CL1,d02_CL2,d03_CL1,d03_CL2,d04_CL1,d04_CL2,d05_CL1,d05_CL2,d06_CL1,d06_CL2,d07_CL1,d07_CL2,d08_CL1,d08_CL2
10.2,7.392709,7.371942,7.741321,7.776960,8.956047,8.872400,9.375202,9.165485,9.951319,9.928612,7.372072,7.387880,5.064412,5.193466,6.897582,6.844441
10.3,7.407471,7.386512,7.176455,7.166873,8.262892,8.183728,9.209093,9.054095,10.420776,10.412147,7.964381,8.007583,5.570848,5.716584,6.021774,6.092800
10.4,7.687980,7.667062,6.889170,6.879770,7.973803,7.952469,9.174785,9.067796,10.746947,10.768827,8.706513,8.670265,5.471078,5.606696,5.421665,5.662196
10.5,7.635333,7.646052,6.990028,6.932996,8.121268,8.081539,9.176597,9.149683,10.848919,10.878608,9.423826,9.359072,5.824287,5.938978,5.532790,5.837306
10.6,7.950404,7.961030,7.307219,7.219684,8.010319,7.953204,9.208393,9.220333,11.038397,11.056602,9.839349,9.771633,6.484409,6.512530,5.821044,5.912705
10.7,8.225688,8.247498,7.419293,7.329333,8.317652,8.310757,8.779314,8.837486,10.782658,10.862253,10.426763,10.338476,7.238879,7.248820,6.058616,5.975270
10.8,8.156021,8.179533,7.754525,7.633356,8.281320,8.323449,8.785656,8.878468,10.526413,10.681326,10.501806,10.390971,8.134241,8.134085,6.523933,6.426016
10.9,8.015727,8.031602,7.849375,7.734950,7.992366,8.013766,8.841242,8.930451,10.006961,10.161483,10.730394,10.592058,8.993745,9.127635,7.134909,6.970549
11,8.244251,8.274964,8.089123,7.985978,7.994904,8.033697,9.210341,9.328250,9.792702,9.916375,10.557370,10.442226,10.211507,10.278959,7.765173,7.560162
11.1,8.304455,8.318328,8.313305,8.224077,8.066600,8.232823,9.307257,9.455562,9.798413,9.869217,10.778388,10.626089,10.700234,10.831786,8.620921,8.449169
11.2,8.674454,8.687696,8.603657,8.548242,8.275886,8.497344,9.615709,9.802975,9.943391,10.024063,10.731646,10.605164,11.208198,11.268498,9.356182,9.061855
11.3,8.839686,8.837840,9.005565,8.930424,8.414684,8.652002,9.630124,9.817842,10.191017,10.180330,10.495223,10.553055,11.753157,11.671834,9.655050,9.287572
