r,d01_K,d01_CL,d02_K,d02_CL,d03_K,d03_CL,d04_K,d04_CL,d05_K,d05_CL,d06_K,d06_CL,d07_K,d07_CL,d08_K,d08_CL
14,8.396102,8.316863,7.210033,7.061842,6.561035,6.294734,7.498783,7.144141,7.775996,7.491355,7.410460,6.816941,8.712178,8.164313,8.074489,7.464936
14.1,8.658866,8.590326,7.926881,7.803589,7.648972,7.371313,8.133470,7.825718,8.639311,8.361129,8.316510,7.713908,9.415375,8.865675,8.645491,8.143746
14.2,9.118931,9.049697,8.528735,8.398965,8.808235,8.505411,8.601051,8.320250,9.195124,8.899841,9.207057,8.725528,10.397495,9.814749,9.207111,8.676288
14.3,10.098830,10.044883,9.315459,9.152285,10.134961,9.756280,9.550413,9.266189,10.087090,9.758418,10.321641,9.885060,10.842547,10.375638,9.999696,9.512642
14.4,11.017316,10.959005,10.392984,10.227714,10.903206,10.557336,10.634559,10.368727,11.091391,10.765110,11.902481,11.498179,11.498597,11.017390,11.388120,10.997618
14.5,12.355314,12.303266,11.825821,11.653638,12.033910,11.666588,11.769964,11.550717,12.581777,12.226436,13.652192,13.320945,12.602875,12.061180,12.135972,11.698775
14.6,13.718612,13.676085,12.881089,12.741177,13.521491,13.155286,13.086140,12.906874,13.574414,13.263419,14.993258,14.591818,13.277832,12.767103,13.090095,12.711109
14.7,14.708496,14.671898,14.157506,14.015323,14.632639,14.325404,14.214804,14.116945,14.227526,13.892434,15.634115,15.246351,14.280221,13.722200,14.494596,13.951168
14.8,15.807468,15.775321,15.500700,15.369616,15.261777,15.010915,15.292254,15.117683,15.299518,14.917816,16.446037,16.085389,15.174456,14.633354,15.430145,14.911677
14.9,16.387186,16.351040,16.144851,16.045861,16.164788,15.969156,15.903227,15.769554,15.931459,15.494273,16.954318,16.580362,15.784632,15.346450,16.086244,15.636458
15,16.846040,16.806137,16.442292,16.360589,16.364383,16.239380,16.515263,16.304180,16.322674,15.881541,17.506493,17.133899,16.095713,15.663406,16.768482,16.286682
